turn,agent_helped,partner_helped_last,ownBPfill,ownEnergy,distance_to_partner_veg,partner_needs_help
6,0,1,0.0,0.7,14.677247,1
7,0,0,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,9.615384,1
9,0,0,0.0,0.55,9.615384,1
10,0,1,0.0,0.5,10.221294,1
11,0,0,0.0,0.5,10.221294,1
0,0,0,0.0,1.0,9.6633415,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,9.805807,1
3,0,0,0.0,0.85,9.0711355,1
4,0,1,0.0,0.8,10.62054,1
5,0,0,0.0,0.75,9.615384,1
6,0,1,0.0,0.7,14.677247,1
7,0,0,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,10.750327,1
9,0,0,0.0,0.55,10.750327,1
10,0,1,0.0,0.5,11.697621,1
11,0,0,0.0,0.5,11.697621,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.271467,1
3,0,0,0.0,0.85,9.805807,1
4,0,1,0.0,0.8,9.0711355,1
5,0,0,0.0,0.75,10.750327,1
6,0,1,0.0,0.7,9.615384,1
7,0,0,0.0,0.65,10.62054,1
8,0,1,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,11.697621,1
10,0,1,0.0,0.55,11.697621,1
0,1,0,0.0,1.0,1.3598212,1
1,1,0,20.0,0.92,5.4392834,1
2,1,1,40.0,0.83,9.899645,1
3,0,0,60.000004,0.75,4.079462,1
4,0,1,0.0,0.57,8.864946,1
5,0,0,0.0,0.52,7.9290485,1
6,0,1,0.0,0.47,8.707102,1
7,0,0,0.0,0.42,7.7521706,1
8,0,1,0.0,0.37,1.9230769,1
9,0,0,0.0,0.32,6.799104,1
10,0,1,0.0,0.27,8.864946,1
11,0,0,0.0,0.22,1.9230769,1
12,0,0,0.0,0.17,8.158924,1
13,0,0,0.0,0.12,4.9029036,1
14,0,1,0.0,0.07,4.3001304,1
15,0,0,0.0,0.02,3.8461537,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.271467,1
3,0,0,0.0,0.85,9.805807,1
4,0,1,0.0,0.8,9.0711355,1
5,0,0,0.0,0.75,10.750327,1
6,0,1,0.0,0.7,9.615384,1
7,0,0,0.0,0.65,10.62054,1
8,0,1,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,14.677247,1
10,0,0,0.0,0.5,8.864946,1
11,0,0,0.0,0.5,8.864946,1
0,1,0,0.0,1.0,5.6066847,1
1,1,0,20.0,0.86,0.96153843,1
2,1,1,40.0,0.74,4.8076925,1
3,0,0,60.000004,0.67,4.8076925,1
4,0,1,0.0,0.55,4.9029036,1
5,0,0,0.0,0.5,8.707102,1
6,0,1,0.0,0.45,1.9230769,1
7,0,0,0.0,0.4,8.158924,1
8,0,1,0.0,0.35,7.9290485,1
9,0,0,0.0,0.3,8.864946,1
10,0,1,0.0,0.25,7.7521706,1
11,0,0,0.0,0.2,1.9230769,1
12,0,0,0.0,0.15,6.799104,1
13,0,0,0.0,0.1,3.0406513,1
14,0,1,0.0,0.05,1.9230769,1
15,0,0,0.0,0.0,4.3001304,1
16,0,1,0.0,0.0,3.8461537,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,9.6633415,1
3,0,0,0.0,0.85,9.0711355,1
4,0,1,0.0,0.8,9.805807,1
5,0,0,0.0,0.75,9.615384,1
6,0,1,0.0,0.7,10.750327,1
7,0,0,0.0,0.65,8.864946,1
8,0,1,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,10.221294,1
10,0,1,0.0,0.55,10.221294,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,9.6633415,1
3,0,0,0.0,0.85,9.0711355,1
4,0,1,0.0,0.8,9.805807,1
5,0,0,0.0,0.75,9.615384,1
6,0,1,0.0,0.7,10.62054,1
7,0,0,0.0,0.65,8.864946,1
8,0,1,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,14.677247,1
10,0,0,0.0,0.5,10.750327,1
11,0,0,0.0,0.5,10.750327,1
0,0,0,0.0,1.0,10.750327,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,14.677247,1
3,0,0,0.0,0.85,10.62054,1
4,0,1,0.0,0.8,9.0711355,1
5,0,0,0.0,0.75,9.805807,1
6,0,1,0.0,0.7,8.271467,1
7,0,0,0.0,0.65,9.615384,1
8,0,1,0.0,0.6,8.864946,1
0,1,0,0.0,1.0,5.6066847,1
1,1,0,20.0,0.88,5.178044,1
2,1,1,40.0,0.87,12.3137,1
3,0,0,60.000004,0.77,5.6066847,1
4,0,1,60.000004,0.72,5.1780434,1
5,0,0,60.000004,0.67,4.9029036,1
6,0,1,60.000004,0.62,3.8461537,1
7,0,0,60.000004,0.57,0.0,1
8,0,1,60.000004,0.52,7.322859,1
9,0,0,60.000004,0.47,3.8461537,1
10,0,0,60.000004,0.42,7.000106,1
11,0,0,60.000004,0.37,4.3001304,1
12,0,1,60.000004,0.32,1.3598206,1
13,0,0,0.0,0.22,7.9290485,1
14,0,1,0.0,0.17,1.9230769,1
15,0,0,0.0,0.12,7.7521706,1
16,0,1,0.0,0.07,3.0406513,1
0,0,0,0.0,1.0,9.6633415,1
1,0,0,0.0,0.95,10.750327,1
2,0,1,0.0,0.9,9.805807,1
3,0,0,0.0,0.85,8.864946,1
4,0,1,0.0,0.8,9.615384,1
5,0,0,0.0,0.75,8.271467,1
6,0,1,0.0,0.7,14.677247,1
7,0,0,0.0,0.65,9.0711355,1
8,0,1,0.0,0.6,10.62054,1
0,1,0,0.0,1.0,1.3598212,1
1,1,0,20.0,0.85,5.8488107,1
2,1,1,40.0,0.78,11.737072,1
3,0,0,60.000004,0.65,5.6066847,1
4,0,1,60.000004,0.6,4.807692,1
5,0,0,60.000004,0.55,8.600263,1
6,0,1,60.000004,0.5,3.8461545,1
7,0,0,60.000004,0.45,9.899645,1
8,0,1,60.000004,0.4,3.8461545,1
9,0,0,60.000004,0.35,9.071136,1
10,0,1,60.000004,0.3,9.071136,1
11,0,0,60.000004,0.25,3.0406513,1
12,0,0,60.000004,0.2,3.0406513,1
13,0,0,60.000004,0.15,0.0,1
14,0,1,60.000004,0.1,8.653847,1
15,0,0,60.000004,0.05,1.3598212,1
16,0,1,60.000004,0.0,7.692309,1
17,0,0,60.000004,0.0,3.0406513,1
18,0,0,60.000004,0.0,4.3001313,1
19,0,0,60.000004,0.0,4.3001313,1
20,0,1,60.000004,0.0,3.0406513,1
21,0,0,60.000004,0.0,4.0794625,1
22,0,0,60.000004,0.0,4.0794625,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.271467,1
3,0,0,0.0,0.85,10.62054,1
4,0,1,0.0,0.8,9.0711355,1
5,0,0,0.0,0.75,10.750327,1
6,0,1,0.0,0.7,9.615384,1
7,0,0,0.0,0.65,9.805807,1
8,0,1,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,8.864946,1
10,0,0,0.0,0.55,8.864946,1
0,0,0,0.0,1.0,9.6633415,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,9.805807,1
3,0,0,0.0,0.85,9.0711355,1
4,0,1,0.0,0.8,10.750327,1
5,0,0,0.0,0.75,8.864946,1
6,0,1,0.0,0.7,14.677247,1
7,0,0,0.0,0.65,9.615384,1
8,0,1,0.0,0.6,9.615384,1
9,0,0,0.0,0.55,10.221294,1
10,0,1,0.0,0.55,10.221294,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,10.750327,1
2,0,1,0.0,0.9,9.805807,1
3,0,0,0.0,0.85,8.271467,1
4,0,1,0.0,0.8,9.6633415,1
5,0,0,0.0,0.75,9.0711355,1
6,0,1,0.0,0.7,10.62054,1
7,0,0,0.0,0.65,9.615384,1
8,0,0,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,8.864946,1
10,0,1,0.0,0.55,8.864946,1
0,0,0,0.0,1.0,9.0711355,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.271467,1
3,0,0,0.0,0.85,10.62054,1
4,0,1,0.0,0.8,8.864946,1
5,0,0,0.0,0.75,10.750327,1
6,0,0,0.0,0.7,14.677247,1
7,0,0,0.0,0.65,9.805807,1
8,0,1,0.0,0.6,9.615384,1
0,1,0,0.0,1.0,10.576923,1
1,1,0,20.0,0.91,0.96153915,1
2,1,1,40.0,0.79,12.936178,1
3,0,0,60.000004,0.77,7.322859,1
4,0,0,0.0,0.63,6.799104,1
5,0,1,0.0,0.58,10.038755,1
6,0,1,0.0,0.53,1.9230769,1
7,0,0,0.0,0.48,9.121955,1
8,0,0,0.0,0.43,9.805807,1
9,0,1,0.0,0.38,3.0406513,1
10,0,1,0.0,0.33,8.864946,1
11,0,1,0.0,0.28,1.9230769,1
12,0,0,0.0,0.23,8.707102,1
13,0,0,0.0,0.18,3.8461537,1
14,0,0,0.0,0.13,1.9230769,1
15,0,0,0.0,0.08,4.9029036,1
16,0,1,0.0,0.03,4.3001304,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,0,0.0,0.9,8.271467,1
3,0,1,0.0,0.85,10.62054,1
4,0,0,0.0,0.8,9.0711355,1
5,0,1,0.0,0.75,9.805807,1
6,0,0,0.0,0.7,9.615384,1
7,0,1,0.0,0.65,10.750327,1
8,0,0,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,11.697621,1
10,0,0,0.0,0.55,11.697621,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.271467,1
3,0,0,0.0,0.85,9.805807,1
4,0,1,0.0,0.8,9.0711355,1
5,0,0,0.0,0.75,10.62054,1
6,0,1,0.0,0.7,9.615384,1
7,0,0,0.0,0.65,10.750327,1
8,0,1,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,11.697621,1
10,0,1,0.0,0.55,11.697621,1
0,1,0,0.0,1.0,10.576923,1
1,1,1,20.0,0.86,12.936178,1
2,1,0,40.0,0.79,5.178044,1
3,0,1,60.000004,0.73,4.8076925,1
4,0,0,0.0,0.55,6.799104,1
5,0,0,0.0,0.5,8.707102,1
6,0,1,0.0,0.45,1.9230769,1
7,0,0,0.0,0.4,10.038755,1
8,0,0,0.0,0.35,8.864946,1
9,0,0,0.0,0.3,9.121955,1
10,0,1,0.0,0.25,8.158924,1
11,0,1,0.0,0.2,1.9230769,1
12,0,0,0.0,0.15,4.3001304,1
13,0,1,0.0,0.1,3.8461537,1
14,0,1,0.0,0.05,1.9230769,1
15,0,0,0.0,0.0,4.9029036,1
16,0,0,0.0,0.0,3.0406513,1
0,1,0,0.0,1.0,1.3598212,1
1,1,0,20.0,0.92,5.4392834,1
2,1,1,40.0,0.83,4.9029036,1
3,0,1,60.000004,0.69,4.9029036,1
4,0,1,0.0,0.53,7.7521706,1
5,0,1,0.0,0.48,8.707102,1
6,0,0,0.0,0.43,6.799104,1
7,0,1,0.0,0.38,9.805807,1
8,0,0,0.0,0.33,1.9230769,1
9,0,0,0.0,0.28,8.864946,1
10,0,0,0.0,0.23,3.8461537,1
11,0,1,0.0,0.18,1.9230769,1
12,0,0,0.0,0.13,4.9029036,1
13,0,1,0.0,0.08,4.3001304,1
14,0,0,0.0,0.03,8.158924,1
15,0,0,0.0,0.03,3.0406513,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,8.271467,1
2,0,0,0.0,0.9,9.6633415,1
3,0,1,0.0,0.85,9.0711355,1
4,0,0,0.0,0.8,9.805807,1
5,0,1,0.0,0.75,8.864946,1
6,0,0,0.0,0.7,10.750327,1
7,0,1,0.0,0.65,9.615384,1
8,0,0,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,10.221294,1
10,0,0,0.0,0.55,10.221294,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,9.6633415,1
3,0,0,0.0,0.85,9.0711355,1
4,0,1,0.0,0.8,10.62054,1
5,0,0,0.0,0.75,9.615384,1
6,0,1,0.0,0.7,10.750327,1
7,0,0,0.0,0.65,8.864946,1
8,0,1,0.0,0.6,14.677247,1
9,0,0,0.0,0.55,14.677247,1
10,0,0,0.0,0.5,9.805807,1
11,0,0,0.0,0.5,9.805807,1
0,1,0,0.0,1.0,1.3598212,1
1,1,0,20.0,0.7,5.8488107,1
2,0,1,40.0,0.56,4.8076925,1
3,0,0,40.0,0.51,8.215388,1
4,0,1,40.0,0.46,4.9029036,1
5,0,0,0.0,0.16,4.3001304,1
6,0,1,0.0,0.11,4.9029036,1
7,0,0,0.0,0.06,3.0406513,1
8,0,1,0.0,0.01,1.9230769,1
9,0,0,0.0,0.0,1.9230769,1
10,0,0,0.0,0.0,6.799104,1
11,0,0,0.0,0.0,8.707102,1
12,0,1,0.0,0.0,7.7521706,1
13,0,0,0.0,0.0,9.805807,1
14,0,1,0.0,0.0,7.9290485,1
15,0,0,0.0,0.0,8.864946,1
16,0,1,0.0,0.0,1.9230769,1
